id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_claim_details,claim.details,model_claim_details,base.group_user,1,1,1,1
access_employee_details,employee.details,model_employee_details,base.group_user,1,1,1,1
access_insurance_details,insurance.details,model_insurance_details,base.group_user,1,1,1,1
access_policy_details,policy.details,model_policy_details,base.group_user,1,1,1,1
access_policy_type,policy.type,model_policy_type,base.group_user,1,1,1,1
access_account_move,account.move,model_account_move,base.group_user,1,1,1,1
access_hopital_details,hopital.details,model_hopital_details,base.group_user,1,1,1,1
access_clinique_details,clinique.details,model_clinique_details,base.group_user,1,1,1,1
access_praticien_details,praticien.details,model_praticien_details,base.group_user,1,1,1,1
access_opticien_details,opticien.details,model_opticien_details,base.group_user,1,1,1,1
access_famille_details,famille.details,model_famille_details,base.group_user,1,1,1,1
access_charge_details,charge.details,model_charge_details,base.group_user,1,1,1,1
access_order_details,order.details,model_order_details,base.group_user,1,1,1,1
access_product_order,product.order,model_product_order,base.group_user,1,1,1,1
access_pharmacie_details,pharmacie.details,model_pharmacie_details,base.group_user,1,1,1,1
